DateTime,Daily News Sentiment
12/31/2020 0:00,-0.1
12/30/2020 0:00,-0.4
12/29/2020 0:00,-0.5
12/24/2020 0:00,-0.2
12/22/2020 0:00,0.3
12/19/2020 0:00,-0.05
12/18/2020 0:00,-0.1
12/17/2020 0:00,-0.3
12/16/2020 0:00,-0.33
12/15/2020 0:00,0.1
12/13/2020 0:00,-0.4
12/12/2020 0:00,-0.4
12/9/2020 0:00,-0.13
12/8/2020 0:00,-0.18
12/4/2020 0:00,-0.05
12/3/2020 0:00,-0.37
12/2/2020 0:00,-0.28
12/1/2020 0:00,-0.3
11/27/2020 0:00,0.1
11/26/2020 0:00,-0.3
11/25/2020 0:00,-0.3
11/18/2020 0:00,-0.43
11/11/2020 0:00,0.1
11/10/2020 0:00,0.1
11/9/2020 0:00,-0.22
11/8/2020 0:00,-0.55
11/4/2020 0:00,-0.37
10/28/2020 0:00,0.1
10/25/2020 0:00,-0.53
10/13/2020 0:00,-0.1
10/7/2020 0:00,0
10/6/2020 0:00,-0.35
10/2/2020 0:00,-0.2
9/30/2020 0:00,-0.2
9/28/2020 0:00,-0.3
9/25/2020 0:00,-0.3
9/24/2020 0:00,-0.1
9/22/2020 0:00,-0.1
9/14/2020 0:00,-0.7
8/28/2020 0:00,-0.33
8/27/2020 0:00,-0.1
8/26/2020 0:00,-0.3
8/25/2020 0:00,-0.15
8/24/2020 0:00,0.15
8/7/2020 0:00,-0.3
8/3/2020 0:00,-0.4
7/31/2020 0:00,-0.39
7/30/2020 0:00,-0.35
7/28/2020 0:00,0.1
7/27/2020 0:00,-0.3
7/25/2020 0:00,-0.3
7/24/2020 0:00,-0.5
7/21/2020 0:00,0.17
7/17/2020 0:00,-0.3
6/29/2020 0:00,-0.7
6/26/2020 0:00,-0.1
6/25/2020 0:00,-0.1
6/24/2020 0:00,-0.8
6/10/2020 0:00,-0.2
5/29/2020 0:00,0.1
5/28/2020 0:00,-0.1
5/27/2020 0:00,-0.4
5/21/2020 0:00,-0.2
5/18/2020 0:00,-0.2
5/13/2020 0:00,-0.6
5/12/2020 0:00,-0.1
5/8/2020 0:00,-0.5
5/4/2020 0:00,-0.1
5/1/2020 0:00,-0.08
4/29/2020 0:00,0.1
4/27/2020 0:00,-0.1
4/26/2020 0:00,-0.1
4/24/2020 0:00,-0.1
4/22/2020 0:00,0.2
4/20/2020 0:00,-0.1
4/17/2020 0:00,-0.3
4/16/2020 0:00,-0.1
4/14/2020 0:00,-0.25
4/13/2020 0:00,-0.17
4/7/2020 0:00,-0.16
3/31/2020 0:00,-0.5
3/22/2020 0:00,-0.5
3/18/2020 0:00,-0.4
3/17/2020 0:00,-0.7
3/12/2020 0:00,-0.4
3/11/2020 0:00,0.3
3/10/2020 0:00,-0.1
3/5/2020 0:00,0.2
2/24/2020 0:00,0.1
2/20/2020 0:00,-0.2
2/12/2020 0:00,0.1
2/7/2020 0:00,0.3
2/3/2020 0:00,-0.23
1/31/2020 0:00,-0.05
1/30/2020 0:00,-0.1
1/27/2020 0:00,-0.17
1/26/2020 0:00,-0.1
1/24/2020 0:00,-0.07
1/4/2020 0:00,-0.2
1/3/2020 0:00,-0.4
1/2/2020 0:00,-0.1
